E82843349_2020-12-01_08-33-43.mp4,426,460,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/E82843349_2020-12-01_08-33-43.mp4,[[0.3111979067325592, 0.37731480598449707], [0.4557291567325592, 0.6342592835426331]],2020-12-16 06:51:47
E82843349_2020-12-01_05-02-54.mp4,24,106,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/E82843349_2020-12-01_05-02-54.mp4,[[0.3111979067325592, 0.37731480598449707], [0.4557291567325592, 0.6342592835426331]],2020-12-16 06:51:47
E82843349_2020-12-01_08-33-43.mp4,18,172,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/E82843349_2020-12-01_08-33-43.mp4,[[0.3111979067325592, 0.37731480598449707], [0.4557291567325592, 0.6342592835426331]],2020-12-16 06:51:47
E82843349_2020-12-01_08-33-43.mp4,204,248,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/E82843349_2020-12-01_08-33-43.mp4,[[0.3111979067325592, 0.37731480598449707], [0.4557291567325592, 0.6342592835426331]],2020-12-16 06:51:48
E82843349_2020-12-01_08-48-43.mp4,38,182,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/E82843349_2020-12-01_08-48-43.mp4,[[0.3111979067325592, 0.37731480598449707], [0.4557291567325592, 0.6342592835426331]],2020-12-16 06:51:48
D88628921_2020-12-01_00-38-59.mp4,598,732,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628921_2020-12-01_00-38-59.mp4,[[0.2356770783662796, 0.31712964177131653], [0.3723958432674408, 0.5231481194496155]],2020-12-16 06:51:49
D88628921_2020-12-01_00-38-59.mp4,1150,1190,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628921_2020-12-01_00-38-59.mp4,[[0.2356770783662796, 0.31712964177131653], [0.3723958432674408, 0.5231481194496155]],2020-12-16 06:51:49
D88628921_2020-12-01_00-38-59.mp4,2,36,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628921_2020-12-01_00-38-59.mp4,[[0.2604166567325592, 0.5300925970077515], [0.44921875, 0.8935185074806213]],2020-12-16 06:51:49
D88628921_2020-12-01_00-38-59.mp4,92,496,https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628921_2020-12-01_00-38-59.mp4,[[0.2356770783662796, 0.31712964177131653], [0.3723958432674408, 0.5231481194496155]],2020-12-16 06:51:50
D00268734_2020_12_01_05_59_44.mp4,2,36,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_05_59_44.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:50
D00268734_2020_12_01_06_04_40.mp4,36,184,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_06_04_40.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:50
D00268734_2020_12_01_07_14_00.mp4,36,140,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_07_14_00.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:50
D00268734_2020_12_01_07_38_00.mp4,36,274,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_07_38_00.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:51
D00268734_2020_12_01_05_16_33.mp4,20,554,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_05_16_33.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:51
D00268734_2020_12_01_05_28_33.mp4,2,410,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_05_28_33.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:51
D00268734_2020_12_01_08_04_31.mp4,36,142,http://intelab-oss.ilabservice.cloud/video/D00268734_2020_12_01_08_04_31.mp4,[[0.416015625, 0.5173611044883728], [0.517578125, 0.6666666865348816]],2020-12-16 06:51:52
D88629021_2020_12_01_02_51_28.mp4,734,766,http://intelab-oss.ilabservice.cloud/video/D88629021_2020_12_01_02_51_28.mp4,[[0.1380208283662796, 0.30324074625968933], [0.2434895783662796, 0.46064814925193787]],2020-12-16 06:51:52
D88629021_2020_12_01_02_51_28.mp4,156,182,http://intelab-oss.ilabservice.cloud/video/D88629021_2020_12_01_02_51_28.mp4,[[0.2708333432674408, 0.6921296119689941], [0.4544270932674408, 0.9861111044883728]],2020-12-16 06:51:52
D88629021_2020_12_01_02_51_28.mp4,328,350,http://intelab-oss.ilabservice.cloud/video/D88629021_2020_12_01_02_51_28.mp4,[[0.2708333432674408, 0.6921296119689941], [0.4544270932674408, 0.9861111044883728]],2020-12-16 06:51:53
D88629021_2020_12_01_02_51_28.mp4,426,464,http://intelab-oss.ilabservice.cloud/video/D88629021_2020_12_01_02_51_28.mp4,[[0.2708333432674408, 0.6921296119689941], [0.4544270932674408, 0.9861111044883728]],2020-12-16 06:51:53
D88629021_2020_12_01_05_06_39.mp4,648,676,http://intelab-oss.ilabservice.cloud/video/D88629021_2020_12_01_05_06_39.mp4,[[0.2708333432674408, 0.6921296119689941], [0.4544270932674408, 0.9861111044883728]],2020-12-16 06:51:53
